rgi_index,volume,volume_change,area
1,8329676.6181640625,39392.17402648926,347500.0
2,23588967.481445312,-2507617.993232727,552500.0
3,83451509.01074219,-29751957.69730091,1685000.0
4,184063906.0114708,-36410485.480293274,3695000.0
6,1343867817.9299927,49783737.282070234,10500000.0
7,20364313.112695694,-4550795.477783203,652500.0
8,6529.00390625,804731.6591796875,205000.0
9,76766351.28320312,-22536535.31711197,1545000.0
10,23332.255859375,-50973475.001750946,3817500.0
11,49203011.173583984,-18146198.035202026,1230000.0
12,129751200.7602539,-28899993.490455627,2797500.0
13,29370326158.083885,-2534744685.7390833,209947500.0
14,15310865.939697266,-4005853.2034072876,530000.0
15,4946.630859375,4504006.312194824,667500.0
16,846124774.3190384,-206025488.72371292,13827500.0
17,125944.98754882812,-47312307.1910553,3750000.0
18,70124425.46783447,-8459304.611961365,1655000.0
19,189907089.31604004,-40714438.94813728,3122500.0
20,2814273536.35849,-516034737.48251176,34047500.0
21,7314350361.870819,-883898826.5763075,56632500.0
22,5717591809.983753,-509654967.0467318,39762500.0
23,3709.065673828125,-20139978.99863434,3200000.0
24,6928524.760803223,-55451.558166503906,367500.0
25,927643036.816742,-242729658.4302435,12487500.0
26,2068547.1342773438,-1172450.207824707,170000.0
27,1129359914.0677185,-203454439.13162994,13272500.0
28,907.8797607421875,957242.697265625,62500.0
29,47642.806640625,-66747495.513814926,6450000.0
30,135180469.13598633,-16999227.323560715,2597500.0
31,33970156.61105347,-9344510.839687347,1312500.0
32,1139945147.1109924,-177660575.16957664,14210000.0
33,255289864.62511826,-23916179.673698425,4587500.0
34,74117360.04449463,-23184325.986595154,2102500.0
35,3817717749.0058594,-446766577.7640716,36392500.0
36,265367504.12963867,-20953827.547282696,3827500.0
37,42195015670.2346,-3424274977.308429,234767500.0
38,20322000801.990257,-1177371353.5756993,138742500.0
39,566995751.3449707,-166400924.8128891,8162500.0
40,2890338050.9178467,-341742949.42039037,27502500.0
41,14600649283.408268,-1275055564.8076513,91077500.0
42,10968695033.159966,-2485866549.81195,83860000.0
43,1636241.2429199219,-842594.15625,117500.0
44,6931465898.858425,-566558054.198034,52332500.0
45,3599179631.243408,-459918765.3985397,33067500.0
46,36230429463.260925,-3866525254.4167757,193685000.0
47,636969.1015625,266250.93838882446,45000.0
48,67867.65771484375,-109088.85375976562,145000.0
49,26488250.22491455,0.0,930000.0
50,63612394.07543945,-12387973.070648193,1282500.0
51,4016586.8228759766,-573965.831445694,212500.0
52,1267923.9188232422,-953056.7158203125,90000.0
53,830420.3759765625,-225445.64041137695,60000.0
56,14925686.516601562,-2702970.355529785,445000.0
59,5896.92333984375,489765.97885131836,117500.0
